Distance Sea Floor [m]	Height DOM [m]	Time of Arrival [s]	Angle of Departure [degrees]	Angle of Arrival [degrees]
13.0	3.0	0.00830320362	0.0040842155	0.0
13.0	100.0	0.0625415593	-82.3626175	-82.3706589
13.0	200.0	0.126234248	-86.2204895	-86.2285309
13.0	300.0	0.190184832	-87.4896545	-87.4976959
13.0	400.0	0.25425154	-88.1204376	-88.1284943
13.0	500.0	0.318406612	-88.4975967	-88.505661
13.0	600.0	0.382640928	-88.7484894	-88.7565536
13.0	700.0	0.446950793	-88.9274216	-88.9354935
100.0	3.0	0.0638707727	0.0314170383	2.18278728e-10
100.0	100.0	0.0890292451	-44.0964279	-44.1582527
100.0	200.0	0.141259387	-63.0558624	-63.1177368
100.0	300.0	0.200483859	-71.3604431	-71.4223557
100.0	400.0	0.262052953	-75.8307495	-75.8927078
100.0	500.0	0.324676841	-78.5923843	-78.6543732
100.0	600.0	0.387879848	-80.4597778	-80.5218124
100.0	700.0	0.451448858	-81.8041534	-81.8662262
200.0	3.0	0.127741367	0.0628340542	-6.1118044e-10
200.0	100.0	0.142047495	-25.8111553	-25.9347935
200.0	200.0	0.179496124	-44.5047607	-44.6285019
200.0	300.0	0.229067191	-55.9813347	-56.1051559
200.0	400.0	0.284540176	-63.1996689	-63.3235779
200.0	500.0	0.34310323	-68.0170441	-68.141037
200.0	600.0	0.403446376	-71.4162979	-71.5403748
200.0	700.0	0.464906156	-73.9270248	-74.0511856
300.0	3.0	0.191611618	0.0942510366	2.61934474e-10
300.0	100.0	0.201484904	-17.8244057	-18.009861
300.0	200.0	0.229477435	-33.1981583	-33.3837662
300.0	300.0	0.27006498	-44.6186104	-44.804348
300.0	400.0	0.318510175	-52.8293152	-53.0151749
300.0	500.0	0.371789962	-58.7903252	-58.9763107
300.0	600.0	0.42813468	-63.226265	-63.4123764
300.0	700.0	0.486508459	-66.6184921	-66.8047256
400.0	3.0	0.255481958	0.124593526	-0.108501434
400.0	100.0	0.263025314	-13.5066147	-13.7539005
400.0	200.0	0.285091639	-26.0956917	-26.3431721
400.0	300.0	0.31872189	-36.4692535	-36.7169037
400.0	400.0	0.36073333	-44.659626	-44.9074478
400.0	500.0	0.408581525	-51.0471039	-51.2950897
400.0	600.0	0.460479856	-56.0524063	-56.3005524
400.0	700.0	0.515232265	-60.024086	-60.2723961
500.0	3.0	0.319352448	0.156010151	-0.108501405
500.0	100.0	0.325478107	-10.8233824	-11.1325035
500.0	200.0	0.34361434	-21.3487492	-21.658102
500.0	300.0	0.372044951	-30.5545197	-30.86409
500.0	400.0	0.408659339	-38.2936935	-38.6034698
500.0	500.0	0.451500893	-44.671627	-44.9816093
500.0	600.0	0.498995155	-49.8970604	-50.2072525
500.0	700.0	0.549962819	-54.1897087	-54.5000992
