Distance Sea Floor [m]	Height DOM [m]	Time of Arrival [s]	Angle of Departure [degrees]	Angle of Arrival [degrees]
1313.0	705.0	0.953391373	-27.6536198	-28.4654427
1413.0	5.0	0.901925027	0.439343721	-0.433728218
1413.0	105.0	0.904672503	-3.60839081	-4.46258688
1413.0	205.0	0.911905527	-7.61639166	-8.48020554
1413.0	305.0	0.92353487	-11.5466156	-12.4142046
1413.0	405.0	0.939409137	-15.3657551	-16.2355556
1413.0	505.0	0.959334731	-19.0461483	-19.9175205
1413.0	605.0	0.983077109	-22.5666809	-23.4393005
1413.0	705.0	1.01038074	-25.9127903	-26.7864685
1513.0	5.0	0.96575433	0.470739216	-0.433726043
1513.0	105.0	0.968387365	-3.3105166	-4.22558403
1513.0	205.0	0.975214601	-7.05910921	-7.98420906
1513.0	305.0	0.986163557	-10.7439795	-11.6730556
1513.0	405.0	1.00111032	-14.3373137	-15.2687302
1513.0	505.0	1.01989448	-17.8154182	-18.7485008
1513.0	605.0	1.04232121	-21.159483	-22.0938911
1513.0	705.0	1.06817293	-24.3557243	-25.2912598
