Distance Sea Floor [m]	Height DOM [m]	Time of Arrival [s]	Angle of Departure [degrees]	Angle of Arrival [degrees]
1300.0	700.0	0.945605516	-27.7922935	-28.6050529
1400.0	3.0	0.894081831	0.435731947	-0.409513772
1400.0	100.0	0.896697044	-3.52774787	-4.39785385
1400.0	200.0	0.903859019	-7.57296658	-8.35747147
1400.0	300.0	0.915457726	-11.5409212	-12.3875542
1400.0	400.0	0.931343257	-15.395504	-16.2688789
1400.0	500.0	0.951318979	-19.1082954	-19.9848995
1400.0	600.0	0.975144804	-22.657959	-23.533699
1400.0	700.0	1.00255954	-26.0296631	-26.9049473
1500.0	100.0	0.960450292	-3.2328496	-4.13451147
1500.0	200.0	0.967205346	-7.01453733	-7.84603214
1500.0	300.0	0.978120446	-10.7320671	-11.6324482
1500.0	400.0	0.993068874	-14.3568745	-15.2860422
1500.0	500.0	1.01189005	-17.864006	-18.8032246
1500.0	600.0	1.03438449	-21.2345276	-22.1728249
1500.0	700.0	1.06033015	-24.4544258	-25.392231
