Distance Sea Floor [m]	Height DOM [m]	Arrival Time [s]	Angle of Departure [degrees]	Angle of Arrival [degrees]
450.0	1000.0	0.722815931	-65.5025787	-65.7718124
500.0	3.0	0.329446793	0.453590572	0.244366691
500.0	100.0	0.335347891	-10.5284653	-10.7616758
500.0	200.0	0.353682309	-21.0789433	-21.3273163
500.0	300.0	0.382712543	-30.3207397	-30.5757065
500.0	400.0	0.420259655	-38.0972099	-38.3949738
500.0	500.0	0.464297146	-44.5078545	-44.7994652
500.0	600.0	0.513179779	-49.7608681	-50.0764771
500.0	700.0	0.56567806	-54.0759735	-54.392086
500.0	800.0	0.620892286	-57.646244	-57.9594383
500.0	900.0	0.678188503	-60.6273384	-60.9419975
500.0	1000.0	0.737093866	-63.1408005	-63.4398155
550.0	3.0	0.36239025	0.433402181	0.213095605
550.0	100.0	0.367788374	-9.56768799	-9.81244278
550.0	200.0	0.384607732	-19.2888641	-19.550272
550.0	300.0	0.411489427	-27.9784241	-28.293993
550.0	400.0	0.446653962	-35.4611816	-35.7778091
550.0	500.0	0.488344431	-41.7685089	-42.0810242
550.0	600.0	0.53505969	-47.0373764	-47.3773575
550.0	700.0	0.585621953	-51.434906	-51.7825394
550.0	800.0	0.639135838	-55.1202202	-55.4646912
550.0	900.0	0.694948018	-58.2290497	-58.5751572
550.0	1000.0	0.752558649	-60.8718491	-61.2002792
600.0	3.0	0.395333886	0.418094099	0.153988943
600.0	100.0	0.400312781	-8.76132107	-9.05808258
600.0	200.0	0.415846884	-17.7648849	-18.0841312
600.0	300.0	0.440858454	-25.9429588	-26.2739925
600.0	400.0	0.473878294	-33.1219749	-33.4564629
600.0	500.0	0.513388157	-39.2902641	-39.6633682
600.0	600.0	0.558039844	-44.5317116	-44.8949852
600.0	700.0	0.606713414	-48.9715271	-49.3506889
600.0	800.0	0.658537388	-52.7378159	-53.1135254
600.0	900.0	0.712851942	-55.9466934	-56.3242493
600.0	1000.0	0.769139469	-58.6968422	-59.0545921
650.0	3.0	0.428277493	0.407113224	0.131940335
650.0	100.0	0.432903051	-8.07402706	-8.38225746
650.0	200.0	0.447335839	-16.4524384	-16.7844963
650.0	300.0	0.470707595	-24.1619682	-24.5078278
650.0	400.0	0.501795113	-31.0388298	-31.4357719
650.0	500.0	0.539295077	-37.0445251	-37.4381523
650.0	600.0	0.581990182	-42.2269592	-42.612545
650.0	700.0	0.62883693	-46.6764641	-47.087162
650.0	800.0	0.678997397	-50.4944382	-50.9013824
650.0	900.0	0.731816351	-53.7786293	-54.1875801
650.0	1000.0	0.786765814	-56.6157837	-57.0027618
700.0	3.0	0.461221159	0.399277627	0.113044485
700.0	100.0	0.465544999	-7.48139095	-7.80101728
700.0	200.0	0.479024619	-15.3114643	-15.6560678
700.0	300.0	0.500949264	-22.5935192	-23.0010777
700.0	400.0	0.530299485	-29.1754551	-29.5897713
700.0	500.0	0.565944076	-35.0060349	-35.4192734
700.0	600.0	0.606792212	-40.1066551	-40.5514145
700.0	700.0	0.651887417	-44.5394363	-44.9816971
700.0	800.0	0.700423121	-48.384346	-48.8225327
700.0	900.0	0.751760721	-51.7220268	-52.1623688
700.0	1000.0	0.805370748	-54.6276855	-55.0695953
750.0	3.0	0.494164824	0.393630505	0.0636216328
750.0	100.0	0.498228014	-6.96530914	-7.33699894
750.0	200.0	0.510874987	-14.3112316	-14.7140408
750.0	300.0	0.531519532	-21.2025204	-21.6245632
750.0	400.0	0.559299469	-27.5022469	-27.9332523
750.0	500.0	0.59323281	-33.151947	-33.5819511
750.0	600.0	0.632352173	-38.1537628	-38.6204987
750.0	700.0	0.675770402	-42.5498772	-43.0236473
750.0	800.0	0.72272867	-46.4010315	-46.870472
750.0	900.0	0.772608995	-49.7732162	-50.2449532
750.0	1000.0	0.824887097	-52.7307625	-53.2035789
800.0	3.0	0.52710855	0.390350521	0.0493000932
800.0	100.0	0.530945361	-6.51092005	-6.89395666
800.0	200.0	0.54286021	-13.4266853	-13.8418961
800.0	300.0	0.562363446	-19.9619846	-20.3981133
800.0	400.0	0.588721752	-25.9937553	-26.4406586
800.0	500.0	0.621080697	-31.4609985	-31.9559174
800.0	600.0	0.658578873	-36.3532562	-36.8412018
800.0	700.0	0.700400472	-40.6971283	-41.2023849
800.0	800.0	0.745835066	-44.537571	-45.0382805
800.0	900.0	0.794290066	-47.9279633	-48.4310913
800.0	1000.0	0.845251083	-50.9226303	-51.4262733
850.0	3.0	0.560052276	0.388751447	0.0366686694
850.0	100.0	0.563690603	-6.10792923	-6.50226831
850.0	200.0	0.574957132	-12.6393356	-13.0667801
850.0	300.0	0.593436658	-18.8499489	-19.2972183
850.0	400.0	0.618504047	-24.628706	-25.1396122
850.0	500.0	0.649414897	-29.9149971	-30.4284191
850.0	600.0	0.685395598	-34.6909332	-35.1993675
850.0	700.0	0.725701451	-38.970829	-39.5075836
850.0	800.0	0.769670546	-42.7868958	-43.3188362
850.0	900.0	0.816737592	-46.1815872	-46.7161255
850.0	1000.0	0.866402984	-49.2004128	-49.7348099
900.0	3.0	0.592996001	0.388225436	-0.00760494545
900.0	100.0	0.596458733	-5.74830723	-6.19472027
900.0	200.0	0.607146859	-11.9344378	-12.4202614
900.0	300.0	0.624707758	-17.847126	-18.3593407
900.0	400.0	0.648600817	-23.3879871	-23.9147205
900.0	500.0	0.678174019	-28.4979172	-29.0292549
900.0	600.0	0.712732553	-33.1542511	-33.7237549
900.0	700.0	0.75160563	-37.3611031	-37.9293861
900.0	800.0	0.794169366	-41.1418724	-41.7050247
900.0	900.0	0.839890122	-44.5291977	-45.0951614
900.0	1000.0	0.888286471	-47.560894	-48.1259842
950.0	3.0	0.625939727	0.389202505	-0.017637806
950.0	100.0	0.629247069	-5.42450762	-5.88218307
950.0	200.0	0.63941741	-11.2988739	-11.796833
950.0	300.0	0.656147361	-16.9388351	-17.4646358
950.0	400.0	0.67896831	-22.2565098	-22.7986641
950.0	500.0	0.707303166	-27.196104	-27.7912445
950.0	600.0	0.740538478	-31.7305145	-32.3202362
950.0	700.0	0.778052747	-35.8586922	-36.4584999
950.0	800.0	0.819271684	-39.5955315	-40.1899033
950.0	900.0	0.86369133	-42.9658585	-43.5632095
950.0	1000.0	0.910848737	-46.0006256	-46.5963554
1000.0	3.0	0.658883452	0.391179085	-0.0266599823
1000.0	100.0	0.662052095	-5.13162041	-5.60052395
1000.0	200.0	0.671756029	-10.7232304	-11.2332134
1000.0	300.0	0.687731981	-16.1126881	-16.6509762
1000.0	400.0	0.709569335	-21.2215195	-21.8280258
1000.0	500.0	0.736764073	-25.9962387	-26.6090088
1000.0	600.0	0.768759251	-30.4094238	-31.0188217
1000.0	700.0	0.804989576	-34.4549675	-35.0862465
1000.0	800.0	0.844924033	-38.1411552	-38.766861
1000.0	900.0	0.888088822	-41.486557	-42.1152687
1000.0	1000.0	0.934040606	-44.5160332	-45.1423492
1050.0	3.0	0.691827178	0.393685311	-0.0678680539
1050.0	100.0	0.694871008	-4.86568117	-5.38664913
1050.0	200.0	0.704152465	-10.1997824	-10.7682285
1050.0	300.0	0.719441652	-15.3582458	-15.9599915
1050.0	400.0	0.740379453	-20.2707539	-20.8924675
1050.0	500.0	0.766515851	-24.8879204	-25.5178871
1050.0	600.0	0.797347665	-29.1818314	-29.8531418
1050.0	700.0	0.832368135	-33.1418457	-33.8046112
1050.0	800.0	0.871077299	-36.7723579	-37.4294128
1050.0	900.0	0.913034737	-40.0863724	-40.7464561
1050.0	1000.0	0.957816839	-43.1035194	-43.7603416
1100.0	3.0	0.724770904	0.397255361	-0.0752708316
1100.0	100.0	0.727702856	-4.62226391	-5.15442324
1100.0	200.0	0.736601114	-9.72084904	-10.3012447
1100.0	300.0	0.751262963	-14.666132	-15.2811089
1100.0	400.0	0.771371365	-19.3950348	-20.0316563
1100.0	500.0	0.796522796	-23.862133	-24.5564823
1100.0	600.0	0.82627207	-28.0382805	-28.7290001
1100.0	700.0	0.860146284	-31.9119453	-32.6062164
1100.0	800.0	0.897688568	-35.4831696	-36.1715355
1100.0	900.0	0.938485086	-38.7605438	-39.4520416
1100.0	1000.0	0.9821347	-41.7594452	-42.4466934
1150.0	3.0	0.757714629	0.401465595	-0.0820203722
1150.0	100.0	0.760545552	-4.39884949	-4.94217157
1150.0	200.0	0.769094169	-9.28129387	-9.87355804
1150.0	300.0	0.783180892	-14.0292606	-14.6573019
1150.0	400.0	0.802521825	-18.586525	-19.2878304
1150.0	500.0	0.826762915	-22.9095993	-23.6209126
1150.0	600.0	0.855495036	-26.9714108	-27.6811295
1150.0	700.0	0.888286829	-30.7585297	-31.4843063
1150.0	800.0	0.924717665	-34.2678909	-34.9875488
1150.0	900.0	0.964400113	-37.5044975	-38.2273712
1150.0	1000.0	1.00695491	-40.4802094	-41.1978378
1200.0	3.0	0.790658236	0.405909359	-0.121252358
1200.0	100.0	0.793397188	-4.19336128	-4.78872395
1200.0	200.0	0.801625371	-8.87681389	-9.52757549
1200.0	300.0	0.815182388	-13.4417334	-14.1325092
1200.0	400.0	0.833817482	-17.8370419	-18.553093
1200.0	500.0	0.857208788	-22.0234566	-22.7514038
1200.0	600.0	0.88498652	-25.9743805	-26.7019844
1200.0	700.0	0.916756272	-29.6754341	-30.4326763
1200.0	800.0	0.952129006	-33.1212158	-33.8721733
1200.0	900.0	0.990743101	-36.3138809	-37.0681458
1200.0	1000.0	1.03224099	-39.2623062	-40.0103149
1250.0	3.0	0.823601842	0.411170006	-0.126921803
1250.0	100.0	0.826257586	-4.00287724	-4.60936546
1250.0	200.0	0.834192216	-8.50245857	-9.16502762
1250.0	300.0	0.847261369	-12.8971653	-13.6009121
1250.0	400.0	0.865240455	-17.1408615	-17.8714371
1250.0	500.0	0.887837589	-21.1975174	-21.9393559
1250.0	600.0	0.914718986	-25.0412788	-25.8322296
1250.0	700.0	0.945524871	-28.6569805	-29.4456997
1250.0	800.0	0.979890585	-32.0382347	-32.8205109
1250.0	900.0	1.01748168	-35.184639	-35.9702377
1250.0	1000.0	1.05795956	-38.1023636	-38.8806839
1300.0	3.0	0.856545508	0.416863561	-0.132143587
1300.0	100.0	0.859125495	-3.82606769	-4.44365692
1300.0	200.0	0.866789699	-8.15530205	-8.82961559
1300.0	300.0	0.879407644	-12.3913984	-13.1079865
1300.0	400.0	0.896774769	-16.4930668	-17.2885323
1300.0	500.0	0.918632746	-20.4258194	-21.234972
1300.0	600.0	0.944674373	-24.1658268	-24.9752197
1300.0	700.0	0.974565923	-27.6980209	-28.51824
1300.0	800.0	1.00797355	-31.0144024	-31.8280048
1300.0	900.0	1.04458475	-34.1128044	-34.9297409
1300.0	1000.0	1.08407986	-36.997139	-37.8057442
1350.0	3.0	0.889489114	0.422615618	-0.170023516
1350.0	100.0	0.891999245	-3.66182542	-4.33141994
1350.0	200.0	0.899413407	-7.83285856	-8.56567287
1350.0	300.0	0.911612511	-11.9208546	-12.7002563
1350.0	400.0	0.928413868	-15.8879156	-16.697773
1350.0	500.0	0.949579298	-19.7031326	-20.5284805
1350.0	600.0	0.974829435	-23.3434067	-24.1709366
1350.0	700.0	1.00385594	-26.7939224	-27.6456223
1350.0	800.0	1.0363518	-30.0455627	-30.8904419
1350.0	900.0	1.0720247	-33.0947113	-33.942997
1350.0	1000.0	1.11057377	-35.9435501	-36.7823944
1400.0	3.0	0.922432661	0.429035008	-0.174486101
1400.0	100.0	0.924879491	-3.5080266	-4.18868351
1400.0	200.0	0.932062626	-7.53165722	-8.27616119
1400.0	300.0	0.943873286	-11.4810677	-12.2732334
1400.0	400.0	0.960145175	-15.3217735	-16.1458549
1400.0	500.0	0.980661392	-19.025219	-19.8665314
1400.0	600.0	1.00516284	-22.5700512	-23.4605427
1400.0	700.0	1.03337395	-25.9404354	-26.823597
1400.0	800.0	1.06500161	-29.1277752	-30.0039368
1400.0	900.0	1.09977639	-32.1269226	-33.0065765
1400.0	1000.0	1.13741529	-34.9386787	-35.8077011
1450.0	3.0	0.955376148	0.435759068	-0.178627342
1450.0	100.0	0.957764983	-3.36398435	-4.05567884
1450.0	200.0	0.964733839	-7.25000191	-8.00614166
1450.0	300.0	0.97618258	-11.0694895	-11.87432
