Travel Distance [m]	Absolute Travel Distance [m]
13.130000003996978	13.0
13.130000000268284	13.0
98.81275639974979	97.86725703727473
98.7898639085335	97.86725703727473
199.40417508026533	197.42846805868703
199.31039248707395	197.42846805868703
300.31679660033143	297.28437564056406
300.10390345669657	297.28437564056406
398.206172001558	397.2127893207871
398.20657636500886	397.2127893207871
502.2990682041269	497.16999104933916
501.7030313605839	497.16999104933916
603.3851964672715	597.141524263721
602.5252595082283	597.141524263721
705.0276142588476	697.121223317724
703.8538036918656	697.121223317724
101.00000000105763	100.0
101.0000000353772	100.0
140.6372742903651	139.31618714277246
140.63304084254307	139.31618714277246
223.08792712834946	220.92758994747578
223.07428757932644	220.92758994747578
316.4896029327823	313.38315206788
316.4604294633949	313.38315206788
410.42338158107395	409.40078163090993
410.42658601723565	409.40078163090993
512.1160895044283	506.96055073348657
512.0370202454831	506.96055073348657
611.4830259194532	605.3172721804657
611.3696236788446	605.3172721804657
711.2922447464175	704.1370605216005
711.1382496979063	704.1370605216005
202.0000000614634	200.0
202.0000000037675	200.0
224.3861580295717	222.28135324403618
224.38278659107144	222.28135324403618
283.4715612079052	280.7294070809113
283.4629005758168	280.7294070809113
361.5972828896254	358.0628436461957
361.58062203441875	358.0628436461957
445.64074746285394	444.5323385311804
445.6477033598358	444.5323385311804
541.1061046785948	535.7322092239741
541.0643350477982	535.7322092239741
635.9487775295884	629.6101968678715
635.8898096495674	629.6101968678715
732.474109043793	725.1268854483332
732.3948124782671	725.1268854483332
303.0000000266119	300.0
303.00000004298	300.0
318.27760271988814	315.2919282189127
318.27442363055883	315.2919282189127
362.4050699296562	358.8997074392789
362.39769577028085	358.8997074392789
426.304445600306	422.14807828533344
426.29135751819916	422.14807828533344
498.8419015714608	497.6032556163595
498.8535730600349	497.6032556163595
586.3622364226653	580.5247626070743
586.3320595300271	580.5247626070743
674.8610404588794	668.1384587044814
674.8193223893285	668.1384587044814
766.478444847926	758.8207957087101
766.4231269984989	758.8207957087101
404.00009018504505	400.0
404.000090514612	400.0
415.707084974195	411.59324581435976
415.70395410055517	411.59324581435976
450.23589727995187	445.88002870727456
450.2290357653237	445.88002870727456
503.1136245042969	498.20578077738116
503.10204760448204	498.20578077738116
564.9740380806275	563.5680970388582
564.9916466627525	563.5680970388582
644.3852776367978	637.9725699432539
644.360405317139	637.9725699432539
725.848601844022	718.6160309929079
725.8149489825745	718.6160309929079
811.7076627481308	803.6224237787295
811.6637274123561	803.6224237787295
505.00026660686956	500.0
505.000270734309	500.0
514.3890249888425	509.3220984799305
514.3859301427688	509.3220984799305
542.6584621664676	537.4095272694744
542.6518580615214	537.4095272694744
587.2841296783115	581.5573918367817
587.2733283705921	581.5573918367817
640.0252619904259	638.4426364208456
640.050165507276	638.4426364208456
712.0650652408387	704.9886523909445
712.0430781000902	704.9886523909445
786.5561159480694	778.7226720726705
786.5269422331442	778.7226720726705
866.4085815380832	857.7930985966254
866.3710656856626	857.7930985966254
606.0006154525925	600.0
606.0006263024598	600.0
613.81073976842	607.7902598758884
613.8076694316331	607.7902598758884
637.68192782034	631.513261935171
637.6754747974853	631.513261935171
676.0798128705387	669.4841297596232
676.0694617891706	669.4841297596232
721.228014380526	719.4504847451283
721.261639553599	719.4504847451283
786.9287949434428	779.1078230899751
786.9085460994243	779.1078230899751
854.9207170997429	846.4094753722928
854.8942929778242	846.4094753722928
928.9201383040545	919.6787482594126
928.8866196015107	919.6787482594126
707.0013246873372	700.0
707.0013236742744	700.0
713.7625878898544	706.6887575163482
713.7595142590582	706.6887575163482
734.2952391642194	727.19254671648
734.2888866609868	727.19254671648
767.8864833744301	760.4005523406727
767.8764194770192	760.4005523406727
806.7069004107376	804.7415734259042
806.7507003106846	804.7415734259042
867.1191109522995	858.492283017151
867.0999858136124	858.492283017151
929.2466987395538	920.0048912913453
929.2220812739856	920.0048912913453
997.7710066657031	987.8304510390434
997.740146525	987.8304510390434
808.0019462642491	800.0
