Distance Sea Floor [m]	Height DOM [m]	Arrival Time [s]	Angle of Departure [degrees]	Angle of Arrival [degrees]
550.0	300.0	0.39838478	-28.1652222	-28.1202679
550.0	400.0	0.432192951	-35.6486816	-35.6167145
550.0	500.0	0.472288549	-41.9555206	-41.9340515
550.0	600.0	0.51722008	-47.2223129	-47.2465057
550.0	700.0	0.565841794	-51.6143265	-51.6506615
550.0	800.0	0.617303014	-55.2933388	-55.3392487
550.0	900.0	0.670968771	-58.3958054	-58.4493484
550.0	1000.0	0.726370215	-61.0327988	-61.0924911
600.0	3.0	0.383385032	0.226271063	0.327081352
600.0	100.0	0.388001323	-8.95830059	-8.87517738
600.0	200.0	0.402828753	-17.9658012	-17.9002571
600.0	300.0	0.42681703	-26.1462708	-26.096529
600.0	400.0	0.45853439	-33.32621	-33.2899551
600.0	500.0	0.496510953	-39.4938087	-39.468689
600.0	600.0	0.539427698	-44.7322502	-44.7553024
600.0	700.0	0.586215734	-49.1663322	-49.2027664
600.0	800.0	0.636037648	-52.9260483	-52.9731712
600.0	900.0	0.68825233	-56.1282806	-56.1840057
600.0	1000.0	0.742374599	-58.8722305	-58.9349442
650.0	3.0	0.415332973	0.199178874	0.305013299
650.0	100.0	0.419589043	-8.28732967	-8.19914627
650.0	200.0	0.433331311	-16.6698494	-16.5992661
650.0	300.0	0.455714434	-24.3819618	-24.3273964
650.0	400.0	0.485548764	-31.2595291	-31.2188759
650.0	500.0	0.521561384	-37.2645416	-37.2680283
650.0	600.0	0.562573314	-42.4430923	-42.4645996
650.0	700.0	0.607587397	-46.8866425	-46.922718
650.0	800.0	0.655795097	-50.6977768	-50.745636
650.0	900.0	0.706560135	-53.9750175	-54.0324554
650.0	1000.0	0.759388804	-56.8056297	-56.8709106
700.0	3.0	0.447281003	0.17523995	0.286096931
700.0	100.0	0.451227009	-7.71107864	-7.61784458
700.0	200.0	0.464027524	-15.5454826	-15.4698677
700.0	300.0	0.484993935	-22.8299007	-22.7704868
700.0	400.0	0.5131284	-29.4131012	-29.3904724
700.0	500.0	0.547329009	-35.241684	-35.2421608
700.0	600.0	0.586546063	-40.3379974	-40.3576088
700.0	700.0	0.629855394	-44.7650223	-44.8003273
700.0	800.0	0.676485896	-48.6028214	-48.6509743
700.0	900.0	0.725814641	-51.9332428	-51.9919434
700.0	1000.0	0.777332425	-54.8320427	-54.9579468
750.0	3.0	0.479229003	0.153823853	0.269701809
750.0	100.0	0.482905149	-7.2110405	-7.11276293
750.0	200.0	0.494881511	-14.5615845	-14.4809437
750.0	300.0	0.514589667	-21.4556923	-21.4009361
750.0	400.0	0.541185558	-27.7556076	-27.7288704
750.0	500.0	0.573718011	-33.4029579	-33.4002075
750.0	600.0	0.611248672	-38.4007149	-38.4181137
750.0	700.0	0.652927876	-42.7908554	-42.8250122
750.0	800.0	0.698027074	-46.634697	-46.6827316
750.0	900.0	0.745942593	-49.9993286	-50.0588684
750.0	1000.0	0.796163857	-52.9490509	-53.0795135
800.0	3.0	0.511177063	0.134858593	0.296154201
800.0	100.0	0.514616489	-6.77284431	-6.64653397
800.0	200.0	0.525865018	-13.6932755	-13.6016979
800.0	300.0	0.544448793	-20.2310066	-20.1714916
800.0	400.0	0.569651842	-26.2628822	-26.2319355
800.0	500.0	0.600646675	-31.7276974	-31.7215233
800.0	600.0	0.636596322	-36.6159325	-36.6308479
800.0	700.0	0.676722884	-40.9535561	-40.9862213
800.0	800.0	0.720342577	-44.7865067	-44.8340416
800.0	900.0	0.766866803	-48.1693687	-48.2283325
800.0	1000.0	0.815813601	-51.154808	-51.2892532
850.0	3.0	0.543125212	0.117163971	0.283470094
850.0	100.0	0.546354413	-6.38592768	-6.25457716
850.0	200.0	0.556956112	-12.9219265	-12.8253412
850.0	300.0	0.574531794	-19.13447	-19.070179
850.0	400.0	0.598468959	-24.9133492	-24.8781071
850.0	500.0	0.628045559	-30.1976013	-30.1878357
850.0	600.0	0.662514985	-34.9694557	-34.981636
850.0	700.0	0.701166928	-39.2428131	-39.2736816
850.0	800.0	0.743362665	-43.0511436	-43.0978241
850.0	900.0	0.788534522	-46.4372826	-46.5599747
850.0	1000.0	0.836224079	-49.4464493	-49.5843506
900.0	3.0	0.575073361	0.100877464	0.272190928
900.0	100.0	0.578115046	-6.04201126	-5.9056282
900.0	200.0	0.588138223	-12.232688	-12.1311016
900.0	300.0	0.604805231	-18.1477375	-18.0786514
900.0	400.0	0.62758863	-23.6887131	-23.6491051
900.0	500.0	0.655855894	-28.7965622	-28.7830677
900.0	600.0	0.688940287	-33.4482803	-33.4575195
900.0	700.0	0.726194501	-37.6487732	-37.6775665
900.0	800.0	0.767017186	-41.4218369	-41.526722
900.0	900.0	0.810883284	-44.7991714	-44.9236031
900.0	1000.0	0.85734117	-47.8207932	-47.9616318
950.0	3.0	0.60702157	0.0857774764	0.262095094
950.0	100.0	0.609894812	-5.73440742	-5.59300041
950.0	200.0	0.61939764	-11.6133595	-11.5067806
950.0	300.0	0.635242105	-17.2556839	-17.1817856
950.0	400.0	0.65697062	-22.5734444	-22.5294075
950.0	500.0	0.684027374	-27.5104485	-27.4930992
950.0	600.0	0.7158162	-32.0405884	-32.0466957
950.0	700.0	0.75174731	-36.1621552	-36.1886292
950.0	800.0	0.791257024	-39.8901062	-39.9950562
950.0	900.0	0.83385843	-43.2500572	-43.3757935
950.0	1000.0	0.879113913	-46.2743988	-46.4177094
1000.0	3.0	0.63896966	0.0716867	0.253005266
1000.0	100.0	0.64169085	-5.4577446	-5.31131935
1000.0	200.0	0.650723457	-11.0540199	-10.9424496
1000.0	300.0	0.665819824	-16.4457417	-16.3670197
1000.0	400.0	0.686581254	-21.5543213	-21.5058022
1000.0	500.0	0.712517321	-26.3268776	-26.3055687
1000.0	600.0	0.743093967	-30.7357082	-30.7385139
1000.0	700.0	0.777766824	-34.7741852	-34.8531265
1000.0	800.0	0.816028237	-38.450367	-38.5550194
1000.0	900.0	0.857409596	-41.7849922	-41.911602
1000.0	1000.0	0.901494861	-44.8037109	-44.9490395
1050.0	3.0	0.670917869	0.058461532	0.244777888
1050.0	100.0	0.673500896	-5.20765686	-5.05621767
1050.0	200.0	0.682106256	-10.5465069	-10.4299526
1050.0	300.0	0.696519852	-15.7074184	-15.6238604
1050.0	400.0	0.716392279	-20.6200447	-20.5669994
1050.0	500.0	0.741289139	-25.2350082	-25.2096405
1050.0	600.0	0.77072674	-29.5240974	-29.5703163
1050.0	700.0	0.804216266	-33.4760704	-33.5532646
1050.0	800.0	0.841284037	-37.0962524	-37.200264
1050.0	900.0	0.881490767	-40.3990784	-40.5261803
1050.0	1000.0	0.924440086	-43.4051056	-43.5520325
1100.0	3.0	0.702865958	0.0459844992	0.237295419
1100.0	100.0	0.705322981	-4.98055935	-4.82411242
1100.0	200.0	0.713538647	-10.0840683	-9.96253395
1100.0	300.0	0.727326751	-15.0318909	-14.9434862
1100.0	400.0	0.746379733	-19.7609386	-19.7033234
1100.0	500.0	0.770308614	-24.2253475	-24.2323227
1100.0	600.0	0.798681855	-28.395998	-28.4392605
1100.0	700.0	0.831052244	-32.2612381	-32.336441
1100.0	800.0	0.866982162	-35.8217468	-35.9248123
1100.0	900.0	0.906059623	-39.0875854	-39.2148209
1100.0	1000.0	0.947908401	-42.0749741	-42.2231064
1150.0	3.0	0.734814167	0.0341585129	0.230460852
1150.0	100.0	0.737155557	-4.77348614	-4.61203527
1150.0	200.0	0.745014429	-9.66106224	-9.53454971
1150.0	300.0	0.758227587	-14.4116907	-14.3184309
1150.0	400.0	0.776521444	-18.9684448	-18.9302368
1150.0	500.0	0.799550891	-23.2885838	-23.2916927
1150.0	600.0	0.826925874	-27.3446579	-27.3848114
1150.0	700.0	0.858238578	-31.1229343	-31.1959248
1150.0	800.0	0.893084347	-34.6211967	-34.7230377
1150.0	900.0	0.931077778	-37.8459511	-37.9729919
1150.0	1000.0	0.971862376	-40.8097382	-40.9587097
1200.0	3.0	0.766762257	0.0233028755	0.264995843
1200.0	100.0	0.768997729	-4.58365345	-4.39408827
1200.0	200.0	0.776528001	-9.27242374	-9.13480186
1200.0	300.0	0.789210081	-13.8399162	-13.7514925
1200.0	400.0	0.806801379	-18.2349758	-18.1922932
1200.0	500.0	0.828992367	-22.4182758	-22.4174347
1200.0	600.0	0.855430603	-26.3631706	-26.4000778
1200.0	700.0	0.885743141	-30.0549965	-30.125576
1200.0	800.0	0.919556439	-33.4893379	-33.5897064
1200.0	900.0	0.956509948	-36.6698303	-36.7963829
1200.0	1000.0	0.996266723	-39.6059265	-39.7554016
1250.0	3.0	0.798710465	0.0125384796	0.259209275
1250.0	100.0	0.80084765	-4.409338	-4.21477795
1250.0	200.0	0.808074832	-8.91428566	-8.77169991
1250.0	300.0	0.820266068	-13.3115282	-13.2182875
1250.0	400.0	0.837204754	-17.5548687	-17.507679
1250.0	500.0	0.858612657	-21.6079884	-21.6031265
1250.0	600.0	0.884170413	-25.4453468	-25.4788799
1250.0	700.0	0.913537145	-29.0517883	-29.1197777
1250.0	800.0	0.946367264	-32.4212646	-32.5199203
1250.0	900.0	0.982324123	-35.5551071	-35.6808815
1250.0	1000.0	1.02108049	-38.4606094	-38.6084862
1300.0	3.0	0.830658734	0.00221819896	0.253862023
1300.0	100.0	0.832704663	-4.24869728	-4.04914951
1300.0	200.0	0.839651585	-8.58336449	-8.43581963
1300.0	300.0	0.851387501	-12.8219757	-12.7239132
1300.0	400.0	0.867718458	-16.9227085	-16.8709831
1300.0	500.0	0.888393819	-20.8520451	-20.8430958
1300.0	600.0	0.913123608	-24.5856457	-24.6156921
1300.0	700.0	0.941595078	-28.108181	-28.17342
1300.0	800.0	0.973488986	-31.4124355	-31.5091667
1300.0	900.0	1.00849092	-34.4978867	-34.6226311
1300.0	1000.0	1.04628587	-37.3692017	-37.5987167
1350.0	3.0	0.862606943	-0.00770663796	0.24890548
1350.0	100.0	0.864568114	-4.10022783	-3.89569664
1350.0	200.0	0.871254683	-8.27672958	-8.12422943
1350.0	300.0	0.882567346	-12.3672285	-12.2643394
1350.0	400.0	0.898331404	-16.3337746	-16.2774887
1350.0	500.0	0.918320477	-20.1454239	-20.132328
1350.0	600.0	0.942270279	-23.7790871	-23.8055496
1350.0	700.0	0.969894171	-27.2195168	-27.2818565
1350.0	800.0	1.00089657	-30.4586506	-30.5532646
1350.0	900.0	1.03497338	-33.4947243	-33.693222
1350.0	1000.0	1.07185364	-36.3292885	-36.5597038
1400.0	3.0	0.894555092	-0.0172777679	0.244297877
1400.0	100.0	0.896437287	-3.96263599	-3.7531271
1400.0	200.0	0.902881622	-7.99185371	-7.83440351
1400.0	300.0	0.913799763	-11.9437904	-11.836071
1400.0	400.0	0.929033875	-15.7839231	-15.7230501
1400.0	500.0	0.948378623	-19.4836769	-19.4663773
1400.0	600.0	0.971593022	-23.0212173	-23.0439987
1400.0	700.0	0.998413801	-26.3815422	-26.4408455
1400.0	800.0	1.02855945	-29.5563335	-29.7170029
1400.0	900.0	1.06176388	-32.5410881	-32.7390709
1400.0	1000.0	1.09775698	-35.3380814	-35.5690804
1450.0	3.0	0.926503301	-0.0265311934	0.240003213
1450.0	100.0	0.928311586	-3.83480597	-3.62032413
1450.0	200.0	0.93452996	-7.72654915	-7.56415176
1450.0	300.0	0.945079327	-11.5486088	-11.4360523
1450.0	400.0	0.959817171	-15.2695112	-15.20403
1450.0	500.0	0.978556275	-18.8628464	-18.8412971
1450.0	600.0	1.0010767	-22.3080177	-22.3270397
1450.0	700.0	1.02713025	-25.5906639	-25.7067184
1450.0	800.0	1.05646873	-28.7006111	-28.85952
1450.0	900.0	1.08883345	-31.6345825	-31.8318062
1450.0	1000.0	1.12397277	-34.3927841	-34.6240807
1500.0	3.0	0.95845139	-0.0354981348	0.235990345
1500.0	100.0	0.960190475	-3.71576929	-3.49631906
1500.0	200.0	0.966197491	-7.47890806	-7.31156731
1500.0	300.0	0.976401925	-11.1790142	-11.0616179
1500.0	400.0	0.99067378	-14.787323	-14.7172127
1500.0	500.0	1.00884295	-18.2794151	-18.2535725
1500.0	600.0	1.03070331	-21.6360016	-21.7009125
1500.0	700.0	1.05603528	-24.842144	-24.9554005
1500.0	800.0	1.0846014	-27.889101	-28.0460739
1500.0	900.0	1.11616182	-30.7722435	-30.9684811
1500.0	1000.0	1.15047956	-33.4907837	-33.7220993
1550.0	3.0	0.990399599	-0.0442057773	0.232232019
1550.0	100.0	0.992073417	-3.60468054	-3.38026714
1550.0	200.0	0.997882545	-7.247262	-7.07498026
1550.0	300.0	1.00776315	-10.832653	-10.710412
1550.0	400.0	1.02159619	-14.3346024	-14.2594948
1550.0	500.0	1.0392257	-17.730114	-17.7378197
1550.0	600.0	1.06046617	-21.0010223	-21.0623207
1550.0	700.0	1.08511078	-24.1336479	-24.243988
1550.0	800.0	1.11294043	-27.1187801	-27.2736473
1550.0	900.0	1.14373052	-29.9512844	-30.1463261
1550.0	1000.0	1.17725825	-32.6295776	-32.8606644
1600.0	3.0	1.02234769	-0.0522789322	0.269511908
1600.0	100.0	1.02396059	-3.50052214	-3.24798775
1600.0	200.0	1.02958345	-7.02993774	-6.8465023
1600.0	300.0	1.03915906	-10.5072193	-10.3898497
1600.0	400.0	1.05257916	-13.9081564	-13.8532391
1600.0	500.0	1.06970072	-17.2117634	-17.2152634
1600.0	600.0	1.09035265	-20.4008541	-20.4584656
1600.0	700.0	1.114344	-23.4622765	-23.5695858
1600.0	800.0	1.14147055	-26.386858	-26.5394688
1600.0	900.0	1.17152262	-29.1691265	-29.3627701
1600.0	1000.0	1.20429015	-31.8068428	-32.0374603
1650.0	3.0	1.0542959	-0.0605451614	0.26617825
1650.0	100.0	1.05585086	-3.40305901	-3.14557362
1650.0	200.0	1.06129849	-6.82577372	-6.63741064
1650.0	300.0	1.07058728	-10.2009277	-10.0787373
1650.0	400.0	1.08361793	-13.5062532	-13.4467373
1650.0	500.0	1.10025907	-16.7222805	-16.7215347
1650.0	600.0	1.12035275	-19.8328457	-19.8867073
1650.0	700.0	1.1437223	-22.8253613	-22.9295387
1650.0	800.0	1.17017794	-25.690773	-25.8409824
1650.0	900.0	1.19952261	-28.4233589	-28.6154251
1650.0	1000.0	1.23155904	-31.0203781	-31.2503033
1700.0	3.0	1.08624423	-0.0686160773	0.263033628
1700.0	100.0	1.08774424	-3.31156683	-3.04913521
1700.0	200.0	1.09302652	-6.63367844	-6.44039154
1700.0	300.0	1.1020447	-9.9122963	-9.78528404
1700.0	400.0	1.11470735	-13.1268978	-13.0627708
1700.0	500.0	1.13089359	-16.2593975	-16.2543736
1700.0	600.0	1.15045762	-19.2946053	-19.3446522
1700.0	700.0	1.1732353	-22.2204819	-22.3214302
1700.0	800.0	1.19904959	-25.0281525	-25.1758289
1700.0	900.0	1.22771645	-27.71175	-27.9020672
1700.0	1000.0	1.25904953	-30.2681255	-30.4971542
1750.0	3.0	1.11819232	-0.076507777	0.26006186
1750.0	100.0	1.11964035	-3.22553778	-2.95816565
1750.0	200.0	1.12476671	-6.45264053	-6.25443316
1750.0	300.0	1.13352919	-9.63987732	-9.50803947
1750.0	400.0	1.14584386	-12.7682991	-12.6995468
1750.0	500.0	1.16159868	-15.8210812	-15.8117504
1750.0	600.0	1.18065929	-18.7839527	-18.8301277
1750.0	700.0	1.20287287	-21.645422	-21.7430573
1750.0	800.0	1.22807431	-24.3968277	-24.541851
1750.0	900.0	1.25609088	-27.0322208	-27.2206287
1750.0	1000.0	1.28673553	-29.5486679	-29.8635979
1800.0	3.0	1.1501404	-0.0842346102	0.25724867
1800.0	100.0	1.15153921	-3.14452004	-2.87221384
1800.0	200.0	1.15651786	-6.2817564	-6.07863331
1800.0	300.0	1.16503847	-9.38237286	-9.24571228
1800.0	400.0	1.17702329	-12.4288425	-12.3554516
1800.0	500.0	1.19236887	-15.4054966	-15.3918266
1800.0	600.0	1.21095049	-18.2989159	-18.3411655
1800.0	700.0	1.23262608	-21.0981483	-21.1923866
1800.0	800.0	1.25724125	-23.7947769	-23.9370308
1800.0	900.0	1.28462481	-26.3833237	-26.6498833
1800.0	1000.0	1.31462455	-28.858654	-29.173048
1850.0	3.0	1.18208873	-0.0918093547	0.254581362
1850.0	100.0	1.18344045	-3.06811047	-2.79087543
1850.0	200.0	1.18827939	-6.12022018	-5.91218662
1850.0	300.0	1.19657063	-9.13862228	-8.99713707
1850.0	400.0	1.20824254	-12.1070757	-12.0290384
1850.0	500.0	1.22319925	-15.0109749	-14.992939
1850.0	600.0	1.24132466	-17.8376923	-17.8759708
1850.0	700.0	1.26248682	-20.5768089	-20.6675701
1850.0	800.0	1.28653371	-23.2205429	-23.4318542
1850.0	900.0	1.3133235	-25.7617912	-26.0267067
1850.0	1000.0	1.34269571	-28.1973495	-28.5110168
1900.0	3.0	1.2140367	-0.099243477	0.252048373
1900.0	100.0	1.21534395	-2.99594808	-2.71378994
1900.0	200.0	1.22004998	-5.96730709	-5.75436592
1900.0	300.0	1.22812378	-8.90757942	-8.76126766
1900.0	400.0	1.23949862	-11.8016911	-11.718996
1900.0	500.0	1.2540853	-14.6360054	-14.6135788
1900.0	600.0	1.27177441	-17.3988228	-17.4321709
1900.0	700.0	1.29244173	-20.0799026	-20.2293129
1900.0	800.0	1.31595516	-22.671133	-22.8798599
1900.0	900.0	1.34216964	-25.1668758	-25.4300041
1900.0	1000.0	1.37093747	-27.5631618	-27.8759232
1950.0	3.0	1.24598491	-0.106547251	0.249639511
1950.0	100.0	1.24724948	-2.92770863	-2.64063311
1950.0	200.0	1.2518295	-5.82236576	-5.60452127
1950.0	300.0	1.25969648	-8.68830109	-8.53716278
1950.0	400.0	1.27078819	-11.5115566	-11.4239025
1950.0	500.0	1.28502071	-14.2793646	-14.2909317
1950.0	600.0	1.30229473	-16.9802704	-17.0614891
1950.0	700.0	1.32249415	-19.60495	-19.7510128
1950.0	800.0	1.34549212	-22.1458035	-22.3518448
1950.0	900.0	1.37115383	-24.5970345	-24.858242
1950.0	1000.0	1.39933968	-26.9546127	-27.2662983
2000.0	3.0	1.27793288	-0.113332644	0.288159192
2000.0	100.0	1.27915716	-2.86283374	-2.54765892
2000.0	200.0	1.2836169	-5.68464851	-5.45564938
2000.0	300.0	1.29128671	-8.47982597	-8.33358574
2000.0	400.0	1.30210876	-11.2352934	-11.1679192
2000.0	500.0	1.31600571	-13.9391117	-13.9463339
2000.0	600.0	1.33288312	-16.5807266	-16.6580086
2000.0	700.0	1.35263348	-19.151165	-19.2938118
2000.0	800.0	1.37513733	-21.6430874	-21.8463478
2000.0	900.0	1.40026784	-24.0508289	-24.3099842
2000.0	1000.0	1.4278928	-26.3703156	-26.6807632
2050.0	3.0	1.30988109	-0.120410465	0.285956442
2050.0	100.0	1.31106627	-2.80150127	-2.48142242
2050.0	200.0	1.31541169	-5.55375957	-5.31986809
2050.0	300.0	1.32289386	-8.28132439	-8.13027191
2050.0	400.0	1.33345926	-10.972002	-10.8999863
2050.0	500.0	1.34703505	-13.6146049	-13.6174631
2050.0	600.0	1.36353385	-16.199192	-16.2724953
2050.0	700.0	1.38285398	-18.7172203	-18.85639
2050.0	800.0	1.40488374	-21.1616421	-21.36203
2050.0	900.0	1.42950332	-23.5269165	-23.7839031
2050.0	1000.0	1.45658815	-25.8089695	-26.1180286
2100.0	3.0	1.34182918	-0.127384037	0.283850133
2100.0	100.0	1.34297705	-2.74328661	-2.41831088
2100.0	200.0	1.34721327	-5.42922401	-5.19044399
2100.0	300.0	1.35451674	-8.09223366	-7.9363699
2100.0	400.0	1.36483693	-10.7209282	-10.6442642
2100.0	500.0	1.37810624	-13.3048153	-13.3032866
2100.0	600.0	1.39424264	-15.8345137	-15.9038048
2100.0	700.0	1.41315055	-18.3019028	-18.4375362
2100.0	800.0	1.43472528	-20.7002201	-20.8976517
2100.0	900.0	1.45885348	-23.0240555	-23.2787571
2100.0	1000.0	1.48541737	-25.269352	-25.5768776
2150.0	3.0	1.37377739	-0.134259984	0.281833589
2150.0	100.0	1.37488937	-2.68797493	-2.35810852
2150.0	200.0	1.37902117	-5.3106041	-5.06694269
2150.0	300.0	1.38615394	-7.91191769	-7.75124454
2150.0	400.0	1.39624	-10.4812632	-10.3999462
2150.0	500.0	1.4092164	-13.00879	-13.0028582
2150.0	600.0	1.42500567	-15.4856396	-15.5508804
2150.0	700.0	1.44351864	-17.9040966	-18.0361385
2150.0	800.0	1.464656	-20.257658	-20.4520569
2150.0	900.0	1.48831129	-22.5410748	-22.7933865
2150.0	1000.0	1.51437294	-24.7503262	-25.0561848
2200.0	3.0	1.40572536	-0.141044393	0.279900789
2200.0	100.0	1.40680313	-2.63537002	-2.30061936
2200.0	200.0	1.41083527	-5.19750595	-4.94896603
2200.0	300.0	1.41780472	-7.73979759	-7.57431602
2200.0	400.0	1.4276669	-10.2522688	-10.1662912
2200.0	500.0	1.44036293	-12.7256594	-12.7153072
2200.0	600.0	1.45581985	-15.1516018	-15.2127619
2200.0	700.0	1.47395349	-17.5227566	-17.6511536
2200.0	800.0	1.49467087	-19.8328896	-20.0241737
2200.0	900.0	1.51787078	-22.0769005	-22.3267193
2200.0	1000.0	1.54343605	-24.2514267	-24.6464233
2250.0	3.0	1.43767357	-0.147742838	0.278046221
2250.0	100.0	1.4387182	-2.58529234	-2.24566412
2250.0	200.0	1.44265485	-5.08956718	-4.83615494
2250.0	300.0	1.44946814	-7.57534552	-7.405056
