Neutrino Depth [m]	Neutrino Min Angle [degrees]	Neutrino Max Angle [degrees]	Hydrophone Depth [m]	Hydrophone Distance [m]	Time of Arrival [s]	Signal Amplitude	Angle of Departure [degrees]	Angle of Arrival [degrees]	Surface Bounces	Bottom Bounces
1100.0	-89.0	-80.0	1600.0	50.0	1.781039	(-4.625020630874356e-05-7.325313042520046e-06j)	-88.9397964	88.9346695	1	0
1100.0	-89.0	-80.0	1600.0	50.0	1.78106618	(4.9630922739965785e-06-7.253843893377356e-06j)	-88.9096985	88.9048615	1	0
1100.0	-89.0	-80.0	1700.0	50.0	1.84639108	(-9.866572038769962e-07-5.760075215255734e-06j)	-89.0	88.9929504	1	0
1100.0	-89.0	-80.0	1700.0	50.0	1.84636354	(-3.7450644795678116e-05+2.3274713844383626e-05j)	-88.969902	88.9644852	1	0
1100.0	-89.0	-80.0	1800.0	50.0	1.91163015	(-7.3843775493192e-07-3.133447185547515e-05j)	-89.0	88.9929504	1	0
1500.0	-89.0	-80.0	1400.0	50.0	1.91244555	(-2.4495551650182015e-05+2.9140978610551466e-05j)	-89.0	89.0017776	1	0
1900.0	-89.0	-80.0	1400.0	50.0	0.328301966	(-0.0013305256321471523+0.00042447137579034746j)	-84.2739563	-84.3044891	0	0
1900.0	-89.0	-80.0	1500.0	50.0	0.263233989	(0.0010922277914217438+0.0015087980743439726j)	-82.8595352	-82.8845673	0	0
1900.0	-89.0	-80.0	1500.0	50.0	0.263233036	(1.4121569844592679e-06+2.7331943516575346e-06j)	-82.8294296	-82.8545074	0	0
1900.0	-89.0	-80.0	1600.0	50.0	0.198495954	(-0.0021349086831690413-0.0015747957815667624j)	-80.5221329	-80.5502777	0	0
2300.0	-89.0	-80.0	1400.0	50.0	0.587653935	(-2.1092503061513687e-05-2.9663585399993685e-05j)	-86.8327789	-86.8619385	0	0
2300.0	-89.0	-80.0	1400.0	50.0	0.587650836	(-7.215766934846132e-05-0.0005463234498653403j)	-86.8026733	-86.8319702	0	0
2300.0	-89.0	-80.0	1500.0	50.0	0.522286713	(0.0003113775758697735-0.000548502528051583j)	-86.4113693	-86.4423828	0	0
2300.0	-89.0	-80.0	1500.0	50.0	0.522281229	(7.613785006055875e-05-1.4883839256909143e-05j)	-86.3812714	-86.4075546	0	0
2300.0	-89.0	-80.0	1600.0	50.0	0.457030356	(4.7048323873828256e-05+0.000840468146449113j)	-85.8996658	-85.9275513	0	0
2300.0	-89.0	-80.0	1600.0	50.0	0.457027525	(-1.0043803040013205e-05+2.4519791032054716e-05j)	-85.8695679	-85.8975449	0	0
2300.0	-89.0	-80.0	1700.0	50.0	0.39188537	(0.00031974267191996344-0.0003592498466338126j)	-85.2374573	-85.2673416	0	0
