Distance Sea Floor [m]	Height DOM [m]	Time of Arrival [s]	Angle of Departure [degrees]	Angle of Arrival [degrees]
1213.0	105.0	0.777811885	-4.33505678	-5.06819201
1213.0	205.0	0.786076188	-8.98484039	-9.72663593
1213.0	305.0	0.799407959	-13.5136318	-14.2587719
1213.0	405.0	0.817576826	-17.8723145	-18.6193962
1213.0	505.0	0.840285301	-22.0230865	-22.7715416
1213.0	605.0	0.867191434	-25.9402714	-26.6898117
1213.0	705.0	0.897933364	-29.6096153	-30.3600731
1313.0	5.0	0.838631034	0.409282655	-0.325504243
1313.0	105.0	0.841517448	-3.94641685	-4.74031258
1313.0	205.0	0.849227726	-8.25185776	-9.05491829
1313.0	305.0	0.8616485	-12.461051	-13.2676859
1313.0	405.0	0.878594637	-16.5337391	-17.3424511
1313.0	505.0	0.899827361	-20.4375744	-21.2477646
1313.0	605.0	0.925064504	-24.1490726	-24.9604301
1313.0	705.0	0.954002738	-27.6533585	-28.4657059
1413.0	5.0	0.902500987	0.43962425	-0.434005201
1413.0	105.0	0.905250728	-3.60810947	-4.46285295
1413.0	205.0	0.912488699	-7.6161108	-8.48047829
1413.0	305.0	0.924125731	-11.5463333	-12.4144783
1413.0	405.0	0.940010309	-15.3654728	-16.2358322
1413.0	505.0	0.959949017	-19.0458641	-19.9177933
1413.0	605.0	0.98370713	-22.5664005	-23.439579
1413.0	705.0	1.01102853	-25.9125099	-26.786747
1513.0	5.0	0.966371179	0.471039832	-0.434003025
1513.0	105.0	0.969006121	-3.310215	-4.22586918
1513.0	205.0	0.975838125	-7.05880737	-7.98449993
1513.0	305.0	0.986794531	-10.743679	-11.6733494
1513.0	405.0	1.00175107	-14.3370132	-15.2690258
1513.0	505.0	1.02054775	-17.8151188	-18.7487984
1513.0	605.0	1.04298913	-21.1591797	-22.0941849
1513.0	705.0	1.06885779	-24.3554192	-25.2915554
